ID,所属游戏,标题,别名,编码,所属期数,第一張卡url,最後一張卡url,備註,如何找尋卡片 url ?,
,1,附贈卡-GBA2,G2,G2,-1,,,,,
,1,附贈卡-GBA3,G3,G3,-1,,,,,
,1,附贈卡-GBA4,G4,G4,-1,,,,,
,1,附贈卡-GBA5,G5,G5,-1,,,,,
,1,附贈卡-GBA6,G6,G6,-1,,,,,
,1,附贈卡-GBA6,G6,G6,-1,,,,,
,1,附贈卡-DI2,DI2,DI2,-1,,,,,
,1,附贈卡-E06,E06,E06,-1,,,,,
,1,附贈卡-EX3,EX3,EX3,-1,,,,,
,1,附贈卡-GB7,GB7,GB7,-1,,,,,
,1,附贈卡-GB8,GB8,GB8,-1,,,,,
,1,附贈卡-GBI,GBI,GBI,-1,,,,,
,1,附贈卡-GX1,GX1,GX1,-1,,,,,
,1,附贈卡-W6S,W6S,W6S,-1,,,,,
,1,附贈卡-GX03,GX03,GX03,-1,,,,,
,1,附贈卡-NTR,NTR,NTR,-1,,,,,
,1,附贈卡-WC07,WC07,WC07,-1,,,,,
,1,附贈卡-WC08,WC08,WC08,-1,,,,,
,1,附贈卡-WC09,WC09,WC09,-1,,,,,
,1,附贈卡-WC10,WC10,WC10,-1,,,,,
,1,附贈卡-WC11,WC11,WC11,-1,,,,,
,1,附贈卡-YDB1,YDB1,YDB1,-1,,,,,
,1,附贈卡-ZDC1,ZDC1,ZDC1,-1,,,,,
,1,附贈卡-PS,PS,PS,-1,,,,,
,1,附贈卡-CMC,CMC,CMC,-1,,,,,
,1,附贈卡-GX05,GX05,GX05,-1,,,,,
,1,附贈卡-S2,S2,S2,-1,,,,,
,1,附贈卡-GX02,GX02,GX02,-1,,,,,
,1,附贈卡-GX04,GX04,GX04,-1,,,,,
,1,附贈卡-GX06,GX06,GX06,-1,,,,,
,1,附贈卡-TF04,TF04,TF04,-1,,,,,
,1,附贈卡-TF05,TF05,TF05,-1,,,,,
,1,附贈卡-TF06,TF06,TF06,-1,,,,,
,1,附贈卡-WB01,WB01,WB01,-1,,,,,
,1,附贈卡-YDT1,YDT1,YDT1,-1,,,,,
,1,附贈卡-HD13,HD13,HD13,-1,,,,,
,1,附贈卡-HD18,HD18,HD18,-1,,,,,
,1,附贈卡-17CC,17CC,17CC,-1,,,,,
,1,附贈卡-18SP,18SP,18SP,-1,,,,,
,1,附贈卡-19SP,19SP,19SP,-1,,,,,
,1,附贈卡-19YJ,19YJ,19YJ,-1,,,,,
,1,附贈卡-20CP,20CP,20CP,-1,,,,,
,1,附贈卡-BPI,BPI,BPI,-1,,,,,
,1,附贈卡-DCP1,DCP1,DCP1,-1,,,,,
,1,附贈卡-EONK,EONK,EONK,-1,,,,,
,1,附贈卡-MC03,MC03,MC03,-1,,,,,
,1,附贈卡-MC1,MC1,MC1,-1,,,,,
,1,附贈卡-MC2,MC2,MC2,-1,,,,,
,1,附贈卡-20DS,20DS,20DS,-1,,,,,
,1,附贈卡-20YJ,20YJ,20YJ,-1,,,,,
